Entity,Code,Day,containment_index(종합수치),school_closures(학교 폐쇄),workplace_closures(회사 폐쇄),cancel_public_events(공개행사 취소),restriction_gatherings(모임 제한),close_public_transport(대중교통폐쇄),stay_home_requirements(재택 요구),public_information_campaigns(홍보캠페인),restrictions_internal_movements(국내이동제한),international_travel_controls(국제여행제한),testing_policy(코로나 검사 정책),contact_tracing(접촉자 추적),facial_coverings(마스크 착용),vaccination_policy(백신 접종),"retail_and_recreation(식당,카페,쇼핑센터,테마파크,박물관,도서관,영화관 등)",grocery_and_pharmacy(식료품점과 약국),residential(Time spent at home; 집에서 보내기),transit_stations(교통수단),parks(공원),workplaces(Workplace visitors;직장 출근)
South Korea,KOR,20211117,58.82,1,2,1,4,0,0,2,0,2,3,2,3,5,14.286,25,0.857,3.143,46.143,-0.143
South Korea,KOR,20211118,58.82,1,2,1,4,0,0,2,0,2,3,2,3,5,14.429,24.714,0.857,3.429,48.286,-0.429
South Korea,KOR,20211119,58.81,1,2,1,4,0,0,2,0,2,3,2,3,5,14.571,25.143,0.857,3.857,50.429,-0.429
South Korea,KOR,20211120,58.81,1,2,1,4,0,0,2,0,2,3,2,3,5,14.143,24.857,0.857,3.857,49.429,-0.286
South Korea,KOR,20211121,58.81,1,2,1,4,0,0,2,0,2,3,2,3,5,13.286,26.714,1,3.143,45.714,0
South Korea,KOR,20211122,57.61,0,2,1,4,0,0,2,0,2,3,2,3,5,12.571,25.429,1.143,2.714,40.286,0.429
South Korea,KOR,20211123,57.61,0,2,1,4,0,0,2,0,2,3,2,3,5,11.857,24.429,1.143,2.286,35.429,0.857
South Korea,KOR,20211124,57.61,0,2,1,4,0,0,2,0,2,3,2,3,5,11.286,23.429,1.143,1.857,32.571,1.286
South Korea,KOR,20211125,57.6,0,2,1,4,0,0,2,0,2,3,2,3,5,11,23.429,1,1.857,30.857,2.143
South Korea,KOR,20211126,57.6,0,2,1,4,0,0,2,0,2,3,2,3,5,10.714,23,0.857,1.571,28.286,2.571
South Korea,KOR,20211127,57.59,0,2,1,4,0,0,2,0,2,3,2,3,5,10.714,23,1,1.286,26.857,2.571
South Korea,KOR,20211128,59.37,0,2,1,4,0,0,2,0,3,3,2,3,5,11,20.714,1,1.429,28,2.429
South Korea,KOR,20211129,59.36,0,2,1,4,0,0,2,0,3,3,2,3,5,11.429,21.714,0.857,1.857,32,2.571
South Korea,KOR,20211130,59.36,0,2,1,4,0,0,2,0,3,3,2,3,5,10.143,20.571,1.286,0.857,27.714,2.429
South Korea,KOR,20211201,59.36,0,2,1,4,0,0,2,0,3,3,2,3,5,9.571,20.429,1.429,0.286,24.429,2.286
South Korea,KOR,20211202,59.35,0,2,1,4,0,0,2,0,3,3,2,3,5,9,19.714,1.714,-0.429,22.143,2.143
South Korea,KOR,20211203,59.35,0,2,1,4,0,0,2,0,3,3,2,3,5,8.571,19.429,1.857,-0.857,20.429,2.286
